,Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Vosk ASR
85,89,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193",what to what happens with everybody it's thanksgiving not
86,90,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951",my dying wish to have that ring see if i'm not buried with that ring
87,91,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204",my dying wish to have that ring see if i'm not buried with that ring than my spirit is going to wander the netherworld for all
88,92,"Okay, thats enough honey!",Chandler,neutral,neutral,8,2,6,23,"00:19:25,372","00:19:26,706",okay that's not funny
89,93,I dont know.  Let me see the ring.,Customer,neutral,neutral,8,3,6,23,"00:19:28,375","00:19:34,964",adam knowi'm see the great okay here
90,94,"Great! Okay, here.",Chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964",let me see the great okay here
91,95,All right.,Customer,neutral,neutral,8,5,6,23,"0:19:37,342","0:19:39,934",thank you thank you for
92,96,Thank you. Thank you. Thank you!  And,Chandler,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074",
93,97,What've you been up to?,Chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738",sowhat you been up to
94,98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203",are you knowteaching aerobics partying way too much
95,99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459",and in case you're wondering those are my legs on the new james bond poster
96,100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758",can you hold on a moment i have another call i love her i know
97,101,I know.,Ross,neutral,neutral,9,4,2,5,"00:02:13,091","00:02:14,758",i love her i know
98,102,I'm back.,Chandler,neutral,neutral,9,5,2,5,"0:02:16,261","0:02:16,903",on back
99,103,"So, are we gonna get together or what?",Jade,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185",so are we going to get together or what
100,104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561",absolutelyhow about tomorrow afternoon do you know we're central park in the village say five ish
101,105,"Great, I'll see you then.",Jade,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647",great of see that okay
102,106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528",having a phone has finally paid off
103,107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620",you even what you do do a good bob impression i'm thinking when she sees you tomorrow she's probably going to realize hey you're not
104,108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337",seek comfort in the open arms of the rise stranger at the next table
105,109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299",you are pure evil
106,110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058",okay pure evilhorny and alonei've done this
107,111,Nobody!,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551",each know
108,112,Nobody respects the bucket!,Phoebe,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947",that he respects the bucket
109,113,You wouldn't believe what people put in here!,Phoebe,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721",you the believe that people pretty here
110,114,Look!,Phoebe,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597",okay
111,115,"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016",okaylook like a garbage cans you you know
112,116,No.,Monica,neutral,neutral,10,5,5,10,"00:12:04,765","00:12:07,016",like a garbage cans you know
113,117,This is my wedding.,Ross,neutral,neutral,11,0,4,23,"00:03:10,815","00:03:12,024",this is my wedding
114,118,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!",Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737",would never really are like let's go let's go let's go
115,119,Fine. Youll-youll watch it on video when we get back.,Ross,neutral,neutral,11,2,4,23,"00:03:18,781","00:03:21,491",five you watch it on video when we get back
116,120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704",phoebe ego photo below for the
117,121,Thank you.,Phoebe,neutral,neutral,11,4,4,23,"0:03:27,790","0:03:28,791",the
118,122,Thank you.,Phoebe,neutral,neutral,11,5,4,23,"0:03:28,791","0:03:28,931",
119,123,"All right, lets go! Bye, Pheebs!",Ross,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463",let's go by
120,124,"Bye, Pheebs!",Joey,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340",for years
121,125,London baby!!,Joey,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554",the
122,126,"Oh, do you need a hug? You dont have to bring me anything!",Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563",a hardyou have to bring me anything
123,127,Hey!,Chandler,neutral,neutral,12,0,6,4,"00:09:47,295","00:09:49,045",i say
124,128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.,Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177",i sayso i still have a bunch of an issue for me tomorrow then law at my old insurance back and not
125,129,"Thats great, but shouldnt you be on the toilet right now?",Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890",that's great butshouldn't you be on the toilet right now
126,130,What?!,Joey,surprise,negative,12,3,6,4,"0:10:04,312","0:10:05,647",but what's
127,131,Whats wrong with you?,Chandler,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929",the wrong with you
128,132,Nothing!,Joey,neutral,neutral,12,5,6,4,"00:10:07,023","00:10:08,023",
129,133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.",Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575",i got this blinding pain in my stomach well as lift the weights before and then they passed out andand play will stand up since
130,134,"But um, I dont think its anything serious.",Joey,neutral,neutral,12,7,6,4,"00:10:18,743","00:10:21,536",i don't see anything serious
131,135,This sounds like a hernia. You have toyou-you go to the doctor!,Chandler,surprise,negative,12,8,6,4,"00:10:21,704","00:10:24,706",the sounds like a hernia you have to you can go to the doctor
132,136,"No way! Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463",way i look forward to go to the doctor for anything it's going to be for this thing stick amount of my stomach
133,137,Thats a hernia.,Chandler,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009",that's a hernia
134,138,Why did I have to start working out again?  Damn you 15s!,Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556",the star war going out againbarely new fifteen square
135,139,I love your place! Where is this guy from?,Mona,joy,positive,13,0,8,8,"00:10:36,844","00:10:40,930",love your place where this guy from
136,140,Uh thats an eighteenth century Indian artifact from Calcutta.,Ross,neutral,neutral,13,1,8,8,"00:10:41,098","00:10:50,899",that's an eighteenth century indian artifact from calcutta oh now soyou're more than just dinosaurs
137,141,"Oh wow! So, youre more than just dinosaurs.",Mona,surprise,positive,13,2,8,8,"00:10:44,894","00:10:50,899",now sothat you're more than just dinosaurs
138,142,So much more.,Ross,neutral,neutral,13,3,8,8,"00:10:51,567","00:10:53,485",so much more
139,143,"Well, well to sum up, were having fun, you look young.",Ross,neutral,neutral,14,0,8,11,"00:13:42,112","00:13:53,456",oh well to some upwe're having funyou look young
140,144,Okay,Mona,neutral,neutral,14,1,8,11,"00:13:57,253","00:14:00,171",okay back and mouth
141,145,But thats not enough. So Soheres a key to my apartment.,Ross,neutral,neutral,14,2,8,11,"00:13:57,253","00:14:06,135",okay back and mouthsooh
142,146,Really?!,Mona,surprise,positive,14,3,8,11,"0:14:12,184","0:14:14,986",really
143,147,Really.,Ross,neutral,neutral,14,4,8,11,"0:14:14,986","0:14:15,320",
144,148,You dont think this is too fast.,Mona,neutral,neutral,14,5,8,11,"00:14:16,897","00:14:20,316",the don't think this is too fastno
145,149,Get Out!,Ross,anger,negative,15,0,9,23,"00:42:09,652","00:42:13,488",this is my wife nancyget out
146,150,"Ross, can I talk to you for a minute?",Charlie,neutral,neutral,15,1,9,23,"00:42:15,032","00:42:16,908",cause cancer to for me
147,151,"Yes, please!  So, what's going on?",Ross,neutral,neutral,15,2,9,23,"00:42:17,117","00:42:23,998",yes pleaseso what's what's going on
148,152,"Uh, well... Joey and I broke up.",Charlie,sadness,negative,15,3,9,23,"00:42:26,126","00:42:29,754",wellwhen i broke up
149,153,"Oh my God, wh-what happened?",Ross,surprise,negative,15,4,9,23,"00:42:30,464","00:42:35,885",godwhat happened showing is a great guy
150,154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,sadness,negative,15,5,9,23,"00:42:36,053","00:42:44,561",that would justwe're so different i mean like during your speech and get the laughing at homo erectus or know that which here
151,155,I knew that was him!,Ross,anger,negative,15,6,9,23,"00:42:42,059","00:42:44,561",our know that was him
152,156,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,negative,15,7,9,23,"00:42:46,313","00:42:50,108",anyway i just somei think it's for the best
153,157,"Hey, you ok?",Ross,neutral,neutral,15,8,9,23,"0:42:51,068","0:42:52,950",the uk
154,158,I guess.,Charlie,sadness,negative,15,9,9,23,"0:42:52,950","0:42:55,208",i guess
155,159,There was hum...  there was another reason that I thought it was time to end it with Joey.,Charlie,neutral,neutral,15,10,9,23,"00:42:57,866","00:43:05,915",there was somethere was another reason that i thought it was time to end it with joey
156,160,I started to realize that I was having feelings for someone  else.,Charlie,neutral,neutral,15,11,9,23,"00:43:06,667","00:43:12,547",i started to realize that i was having feelings or someoneelse
157,161,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Paleontologist,neutral,neutral,15,12,9,23,"00:43:14,174","00:43:19,220",okay dollar last day the conference you know what happens to the keynote speaker
158,162,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,neutral,neutral,15,13,9,23,"00:43:19,388","00:43:22,765",professor cleric or kind of in the middle of a conversation here
159,163,"Yeah, can you guys just throw him in the pool later?",Charlie,neutral,neutral,15,14,9,23,"0:43:22,933","0:43:24,905",yeah can you guys just so wonderful later
160,164,Or we could throw you both in,Professore Clerk,joy,positive,15,15,9,23,"0:43:24,905","0:43:27,073",we could throw you both and now
161,165,"Ok, gentlemen!",Ross,anger,negative,15,16,9,23,"0:43:27,187","0:43:28,147",okay gentlemen
162,166,Please!,Ross,anger,negative,15,17,9,23,"0:43:28,147","0:43:28,699",please
163,167,Aren't we a little old for this?,Ross,anger,negative,15,18,9,23,"0:43:28,699","0:43:30,985",are we a little old for this
164,168,"I mean, we're scientists, right?",Ross,neutral,neutral,15,19,9,23,"0:43:31,066","0:43:32,788",i mean where scientists
165,169,We're academics.,Ross,anger,negative,15,20,9,23,"0:43:32,788","0:43:33,798",the i were academic
166,170,And most importantly I... you-you will have to catch us first.,Ross,joy,positive,15,21,9,23,"00:43:33,902","00:43:37,780",most importantly i do you will have to catch a sports
167,172,"GO, GO, GO!",Ross,joy,positive,15,22,9,23,"00:43:37,948","00:43:40,366",
168,173,"Go, go, go!",Ross,joy,positive,16,0,3,25,"00:04:41,197","00:04:42,239",no
169,174,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,positive,16,1,3,25,"00:04:42,407","00:04:44,574",
170,175,Oy!!,Phoebe,disgust,negative,16,2,3,25,"00:04:49,455","00:04:50,747",a
171,176,Whats with all this sand?,Monica,surprise,negative,16,3,3,25,"00:04:52,333","00:04:54,001",that's what the sand
172,177,"Oh, yeah, Bob said there might be flood damage.",Phoebe,neutral,neutral,16,4,3,25,"00:04:54,168","00:04:56,795",know
173,178,"Yeah, either that, or he has a really big cat.",Ross,neutral,neutral,16,5,3,25,"00:04:57,005","00:04:59,214",these are that area is a really big cat
174,179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,negative,17,0,5,19,"00:06:15,416","00:06:19,127",can i see that blind guy right yeah i'm gonna bash is any latest
175,180,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,positive,17,1,5,19,"00:06:21,506","00:06:25,542",oh my big seems come on out of the big scene come on now
176,181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,neutral,17,2,5,19,"00:06:25,551","00:06:29,012",if you set big have been bubbling up with she understand the difference
177,182,Rach? What are you doing?,Monica,neutral,neutral,17,3,5,19,"00:06:32,183","00:06:33,517",great
178,183,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,negative,17,4,5,19,"00:06:33,976","00:06:37,020",why i can't watch
179,184,It's a diaper commercial.,Monica,neutral,neutral,17,5,5,19,"00:06:37,480","00:06:39,731",the diaper commercial
180,185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,negative,17,6,5,19,"00:06:40,817","00:06:43,735",oh yeah well you know mean babies responsible
181,186,Pizza delivery!,Caitlin,joy,positive,17,7,5,19,"0:06:47,281","0:06:49,793",i mean death
182,187,I'll get it! I will get that!,Ross,joy,positive,17,8,5,19,"0:06:49,793","0:06:50,887",
183,188,Hi!,Caitlin,joy,positive,17,9,5,19,"0:06:53,538","0:06:54,665",i love
184,189,Hi!,Ross,joy,positive,17,10,5,19,"0:06:54,665","0:06:54,803",
185,190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Ross,neutral,neutral,18,0,5,21,"00:05:05,096","00:05:09,474",you want to give some funny or i don't see how long can throw this ball back and forth
186,191,"Uhh, the ball thing.",Joey,neutral,neutral,18,1,5,21,"0:05:09,642","0:05:11,603",the ball thing
187,192,Yeah?,Ross,neutral,neutral,18,2,5,21,"0:05:11,603","0:05:12,542",
188,193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,positive,18,3,5,21,"00:05:14,022","00:05:19,109",roster wouldn't be great if we could go for like two straight hours without drop and
189,194,"Uhh,",Ross,neutral,neutral,18,4,5,21,"00:05:19,277","00:05:22,279",yeah would
190,195,Okay!,Joey,joy,positive,18,5,5,21,"00:05:23,489","00:05:24,990",let's do it
191,196,Uh-oh.,Joey,fear,negative,18,6,5,21,"0:05:28,578","0:05:29,670",well
192,197,What?,Ross,neutral,neutral,18,7,5,21,"0:05:29,670","0:05:30,222",
193,198,I have to pee. And Rachel's in the bathroom!,Joey,sadness,negative,18,8,5,21,"00:05:30,330","00:05:34,166",after paidrachel's and the bathroom
194,199,"Man, I didn't think we were gonna make it!",Joey,surprise,positive,18,9,5,21,"00:05:39,047","00:05:41,548",and i didn't think we're going to make it
195,200,"I know!  Don't switch hands, okay?",Ross,fear,negative,18,10,5,21,"00:05:42,383","00:05:45,969",i knowdon't switch hands okay
196,201,Hey.,Joey,neutral,neutral,19,0,1,1,"0:10:11,861","0:10:14,990",awesome yes you question
197,202,Hey!,Phoebe,neutral,neutral,19,1,1,1,"0:10:14,990","0:10:15,133",
198,203,How did it go with Erin?,Rachel,neutral,neutral,20,0,7,7,"00:10:56,155","00:10:59,157",believable
199,204,"Oh, unbelievable! We had the best time!",Joey,joy,positive,20,1,7,7,"00:10:59,408","00:11:01,368",we had the best time
200,205,"Yay!! Oh so, youre not, youre not mad at us anymore?",Phoebe,joy,positive,20,2,7,7,"00:11:01,535","00:11:06,164",oh so you're not you're not mad at us anymore no no no you guys are totally right
201,206,No!,Joey,joy,positive,20,3,7,7,"0:11:02,703","0:11:03,538",you're not you're not
202,207,No!,Joey,joy,positive,20,4,7,7,"0:11:03,538","0:11:04,760",added us anymore know
203,208,No!,Joey,joy,positive,20,5,7,7,"0:11:04,760","0:11:05,303",no
204,209,You guys were totally right!,Joey,joy,positive,20,6,7,7,"0:11:05,303","0:11:06,298",that you're totally right
205,210,This is so much better than the first time we went out.,Joey,joy,positive,20,7,7,7,"00:11:06,374","00:11:08,625",was so much better than the first time we went out
206,211,Yknow?,Joey,neutral,neutral,20,8,7,7,"00:11:08,625","00:11:08,834",
207,212,"That was so awkward, we were really nervous.",Joey,neutral,neutral,20,9,7,7,"00:11:08,834","00:11:11,378",that was so awkward were both really nervous
